Entry,Gene Names
G2Q0Z5,MYCTH_2136940
G2Q109,MYCTH_2296262
G2Q115,MYCTH_99435
G2Q121,MYCTH_2296291
G2Q126,MYCTH_2132486
G2Q127,MYCTH_2298133
G2Q128,MYCTH_2298134
G2Q142,MYCTH_2298167
G2Q144,MYCTH_2085975
G2Q149,MYCTH_2123876
G2Q151,MYCTH_2298198
G2Q152,MYCTH_2298199
G2Q164,MYCTH_105405
G2Q165,MYCTH_2298226
G2Q166,MYCTH_2298228
G2Q167,MYCTH_2054145
G2Q168,MYCTH_2298230
G2Q169,MYCTH_2298234
G2Q173,MYCTH_2298240
G2Q175,MYCTH_2298245
G2Q179,MYCTH_2294367
G2Q181,MYCTH_2294372
G2Q190,MYCTH_2294394
G2Q191,MYCTH_2294398
G2Q193,MYCTH_2294401
G2Q199,MYCTH_2294414
G2Q1A2,MYCTH_2294418
G2Q1A5,MYCTH_2294426
G2Q1A6,MYCTH_2294427
G2Q1A7,MYCTH_2294429
G2Q1A9,MYCTH_2294433
G2Q1B2,MYCTH_105650
G2Q1B3,MYCTH_2294445
G2Q1C3,MYCTH_2122159
G2Q1D4,MYCTH_2296298
G2Q1D7,MYCTH_2296305
G2Q1E1,MYCTH_2296319
G2Q1E4,MYCTH_2296328
G2Q1E5,MYCTH_2296333
G2Q1E9,MYCTH_2296345
G2Q1F0,MYCTH_2296350
G2Q1F1,MYCTH_99461
G2Q1F2,MYCTH_2296357
G2Q1G1,MYCTH_2296370
G2Q1G4,MYCTH_2296378
G2Q1G9,MYCTH_2296388
G2Q1H3,MYCTH_2296399
G2Q1I4,MYCTH_2298246
G2Q1I6,MYCTH_2298248
G2Q1I9,MYCTH_2298256
G2Q1J1,MYCTH_2137468
G2Q1J7,MYCTH_2298276
G2Q1K2,MYCTH_2298290
G2Q1K9,MYCTH_2298309
G2Q1M0,MYCTH_2298342
G2Q1M3,MYCTH_2298349
G2Q1M5,MYCTH_2298352
G2Q1M8,MYCTH_2298356
G2Q1N9,MYCTH_2294478
G2Q1P3,MYCTH_98773
G2Q1Q1,MYCTH_2313329
G2Q1Q5,MYCTH_2313331
G2Q1Q6,MYCTH_44554
G2Q1R0,MYCTH_2294522
G2Q1R2,MYCTH_2294525
G2Q1R7,MYCTH_2313336
G2Q1S1,MYCTH_2294543
G2Q1S9,MYCTH_2294558
G2Q1T3,MYCTH_2294574
G2Q1U9,MYCTH_2296450
G2Q1V0,MYCTH_2075999
G2Q1V1,MYCTH_2296456
G2Q1V2,MYCTH_2137000
G2Q1V3,MYCTH_2296460
G2Q1V5,MYCTH_2296465
G2Q1W3,MYCTH_77082
G2Q1W5,MYCTH_2313703
G2Q1W8,MYCTH_2296502
G2Q1X2,MYCTH_2296513
G2Q1X3,MYCTH_2123079
G2Q1X6,MYCTH_2296525
G2Q1Y1,MYCTH_2296527
G2Q1Y5,MYCTH_2296536
G2Q1Y8,MYCTH_2052150
G2Q1Y9,MYCTH_2296558
G2Q1Z3,MYCTH_2115074
G2Q200,MYCTH_2298386
G2Q218,MYCTH_2298434
G2Q226,MYCTH_39694
G2Q228,MYCTH_40719
G2Q229,MYCTH_2298452
G2Q233,MYCTH_2298462
G2Q239,MYCTH_2298479
G2Q243,MYCTH_2298487
G2Q249,MYCTH_2294607
G2Q250,MYCTH_62074
G2Q254,MYCTH_2294621
G2Q255,MYCTH_2294623
G2Q257,MYCTH_2074790
G2Q264,MYCTH_110187
G2Q267,MYCTH_2294655
G2Q270,MYCTH_2294663
G2Q284,MYCTH_2141429
G2Q293,MYCTH_35909
G2Q295,MYCTH_2087474
G2Q297,MYCTH_2294727
G2Q2A0,MYCTH_2294733
G2Q2A2,MYCTH_2294738
G2Q2A5,MYCTH_2296575
G2Q2A7,MYCTH_2076088
G2Q2A8,MYCTH_2296585
G2Q2A9,MYCTH_2296586
G2Q2B3,MYCTH_110536
G2Q2B5,MYCTH_2296599
G2Q2C2,MYCTH_2296610
G2Q2C4,MYCTH_2296615
G2Q2C8,MYCTH_2296621
G2Q2C9,MYCTH_2141906
G2Q2D0,MYCTH_2296626
G2Q2D3,MYCTH_2296636
G2Q2E0,MYCTH_2296654
G2Q2E1,MYCTH_2296655
G2Q2E5,MYCTH_2076157
G2Q2E7,MYCTH_2296673
G2Q2F5,MYCTH_2296687
G2Q2G4,MYCTH_2298517
G2Q2G6,MYCTH_2298521
G2Q2G9,MYCTH_37094
G2Q2H2,MYCTH_2073591
G2Q2H3,MYCTH_2298542
G2Q2H6,MYCTH_2298547
G2Q2H8,MYCTH_2298553
G2Q2I0,MYCTH_2086212
G2Q2I1,MYCTH_2298561
G2Q2I4,MYCTH_2298565
G2Q2J4,MYCTH_2298586
G2Q2J8,MYCTH_2298593
G2Q2K7,MYCTH_2298622
G2Q2L0,MYCTH_2298631
G2Q2L1,MYCTH_62175
G2Q2L6,MYCTH_2294755
G2Q2L8,MYCTH_2294760
G2Q2L9,MYCTH_2294761
G2Q2M0,MYCTH_2074905
G2Q2M3,MYCTH_2087521
G2Q2M5,MYCTH_2294774
G2Q2N6,MYCTH_2294795
G2Q2P1,MYCTH_90985
G2Q2P3,MYCTH_2294811
G2Q2P7,MYCTH_2294816
G2Q2P8,MYCTH_2294817
G2Q2Q1,MYCTH_2294821
G2Q2Q8,MYCTH_2294840
G2Q2R6,MYCTH_2115123
G2Q2S3,MYCTH_2296713
G2Q2S7,MYCTH_2296724
G2Q2T0,MYCTH_2296734
G2Q2T2,MYCTH_2296741
G2Q2T4,MYCTH_2088816
G2Q2T6,MYCTH_2313766
G2Q2T7,MYCTH_2051705
G2Q2T9,MYCTH_2296757
G2Q2U0,MYCTH_2054249
G2Q2U1,MYCTH_114376
G2Q2U5,MYCTH_2296766
G2Q2U9,MYCTH_2296774
G2Q2V3,MYCTH_2296782
G2Q2W0,MYCTH_2296798
G2Q2W2,MYCTH_2296802
G2Q2W9,MYCTH_2298636
G2Q2X2,MYCTH_2054491
G2Q2X6,MYCTH_2298652
G2Q2X8,MYCTH_2298656
G2Q2X9,MYCTH_2298657
G2Q2Y1,MYCTH_2298661
G2Q2Y2,MYCTH_2298663
G2Q2Y8,MYCTH_2298680
G2Q2Z1,MYCTH_2298688
G2Q2Z5,MYCTH_2298696
G2Q2Z6,MYCTH_2298702
G2Q309,MYCTH_2314148
G2Q313,MYCTH_2298732
G2Q314,MYCTH_2298733
G2Q327,MYCTH_113886
G2Q334,MYCTH_2141486
G2Q338,MYCTH_41855
G2Q340,MYCTH_98929
G2Q344,MYCTH_2294923
G2Q345,MYCTH_2294926
G2Q347,MYCTH_2294928
G2Q350,MYCTH_76096
G2Q351,MYCTH_2294942
G2Q352,MYCTH_2294943
G2Q355,MYCTH_62332
G2Q356,MYCTH_105786
G2Q357,MYCTH_2294959
G2Q359,MYCTH_42937
G2Q365,MYCTH_2294991
G2Q372,MYCTH_2295005
G2Q378,MYCTH_2296812
G2Q380,MYCTH_2313777
G2Q383,MYCTH_2296824
G2Q390,MYCTH_2296840
G2Q391,MYCTH_2313783
G2Q394,MYCTH_2296852
G2Q395,MYCTH_2296854
G2Q3A2,MYCTH_43163
G2Q3A7,MYCTH_2296876
G2Q3B0,MYCTH_63776
G2Q3B3,MYCTH_44521
G2Q3C4,MYCTH_2296914
G2Q3E1,MYCTH_2086391
G2Q3E2,MYCTH_2298795
G2Q3E8,MYCTH_2314160
G2Q3F1,MYCTH_2298813
G2Q3F2,MYCTH_2132657
G2Q3F6,MYCTH_2298825
