,kcat,MW,kcat_MW
R1415,1.6020500000000002,52124.24920000009,110.64677359419866
R1416,1.6020500000000002,52124.24920000009,110.64677359419866
R1417,1.6020500000000002,52124.24920000009,110.64677359419866
R1418,1.6020500000000002,52124.24920000009,110.64677359419866
R1419,1.6020500000000002,52124.24920000009,110.64677359419866
R1420,1.6020500000000002,52124.24920000009,110.64677359419866
R1421,1.6020500000000002,52124.24920000009,110.64677359419866
R1422,1.6020500000000002,52124.24920000009,110.64677359419866
R1423,1.6020500000000002,52124.24920000009,110.64677359419866
R1424,1.6020500000000002,52124.24920000009,110.64677359419866
R1425,1.6020500000000002,52124.24920000009,110.64677359419866
R1426,1.6020500000000002,52124.24920000009,110.64677359419866
R1427,1.6020500000000002,52124.24920000009,110.64677359419866
R1428,1.6020500000000002,52124.24920000009,110.64677359419866
R1429,7.1241666666666665,47811.13610000006,536.4231451509048
R1430,77433.71538461538,85074.3771000004,3276678.418191016
R1431_num1,7.433571428571429,60521.18400000022,442.1733907726763
R1432_num1,7.433571428571429,60521.18400000022,442.1733907726763
R1433_num1,238.0,60521.18400000022,14157.026405828361
R1434_num1,238.0,60521.18400000022,14157.026405828361
R1435,77433.71538461538,85074.3771000004,3276678.418191016
R1436_num1,20.0,60521.18400000022,1189.6660845233916
R1437_num1,213.68,29628.244300000035,25963.33391243163
R1438,0.007776666666666667,84968.62590000048,0.3294863216094429
R1440,96.02483185183333,70885.68599999999,4876.716501926779
R1441,209.49533332,422711.83340000076,1784.1544531315185
R1442_num1,97.48194416666666,128701.6237000005,2726.733268090064
R1443,57.605,29492.400900000008,7031.574021496498
R1444,8.96012823076923,38667.2969,834.2052384522702
R1445,6123.455026703805,36485.634900000034,604194.99774509
R1446,77433.71538461538,85074.3771000004,3276678.418191016
R1447,486.27272727272725,54097.474900000045,32359.769497888643
R1448,6123.455026703805,63735.68490000021,345872.77332503605
R1449,6123.455026703805,63735.68490000021,345872.77332503605
R1450_num1,295.33846153846156,34586.33970000005,30740.994009795726
