,fluxes,equ,ec-code,kcat_MW,E
R1706_num6,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",211.21207599999997,0.0
R1706_num7,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",854.9852762,0.0
R1706_num8,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",9446.740537,0.0
R1706_num9,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",85.15775478,0.0
R1706_num10,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",299.12145879999997,0.0
R1706_num11,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",300.1680677,0.0
R1706_num12,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",716.488787,0.0
R1706_num13,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",331.5103382,0.0
R1706_num14,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",213.0156909,0.0
R1706_num15,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",52.59216718,0.0
R1706_num16,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",273.2216294,0.0
R1706_num17,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",461.18494230000016,0.0
R1706_num18,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",538.7232829,0.0
R1706_num19,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",149.61472,0.0
R1706_num20,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",160.39366940000005,0.0
R1706_num21,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",745.1762569,0.0
R1706_num22,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",130.1187793,0.0
R1706_num23,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",354.4902205,0.0
R1706_num24,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",1179.813976,0.0
R1706_num25,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",89.266512,0.0
R1706_num26,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",216.97165159999997,0.0
R1706_num27,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",438.40056860000004,0.0
R1706_num28,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",393.2638217,0.0
R1706_num29,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",298.2840003,0.0
R1706_num30,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",114.57922420000001,0.0
R1706_num31,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",212.3663923,0.0
R1706_num32,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",153.9113801,0.0
R1706_num33,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",190.38064730000002,0.0
R1706_num34,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",129.1513138,0.0
R1706_num35,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",260.89509069999997,0.0
R1706_num36,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",488.85238719999995,0.0
R1706_num37,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",460.89440660000014,0.0
R1706_num38,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",197.970143,0.0
R1706_num39,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",100.8718934,0.0
R1706_num40,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",392.40432539999995,0.0
R1706_num41,0.0,h2o_c + thmpp_c --> h_c + pi_c + thmmp_c,"3.6.1.15,3.6.1.-",181.52733,0.0
R1707_num2,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",4030.129675,0.0
R1707_num3,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",1170.5805070000001,0.0
R1707_num4,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",6710.750624,0.0
R1707_num5,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",729.0597193,0.0
R1707_num6,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",169.74704330000003,0.0
R1707_num7,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",342.3945646,0.0
R1707_num8,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",525.9124023,0.0
R1707_num9,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",1660.099503,0.0
R1707_num10,0.0,h2o_c + thmmp_c --> THM_c + pi_c,"3.1.3.1,3.1.3.2,3.1.3.100",3991.099343,0.0
