Unnamed: 0,kcat,MW,kcat_MW
R196_reverse_num2,24.998108,35271.9176,2551.411857
R196_reverse_num3,61.37709,55210.2042,4002.11387
R202_reverse_num2,5.7055297,63269.5064,324.6414914
R202_reverse_num3,25.597807,60933.7306,1512.333223
R220_reverse_num2,197.94707,91901.5822,7754.049875
R223_reverse_num2,9.9180565,51446.9644,694.0157464
R223_reverse_num3,5.6920114,54104.278,378.7360593
R223_reverse_num4,16.672852,52188.0267,1150.115668
R223_reverse_num5,20.652218,65191.2394,1140.459753
R223_reverse_num6,5.9632287,51325.0096,418.2682768
R223_reverse_num7,7.366899,51929.6462,510.7070496
R223_reverse_num8,4.701802,53652.8915,315.4813604
R247_reverse_num2,24.663986,48938.0061,1814.343425
R247_reverse_num3,50.24209000000001,52698.2149,3432.213489
R247_reverse_num4,13.293515,49628.2549,964.3025751
R247_reverse_num5,203.56648,92634.9928,7911.0421
R247_reverse_num6,181.03545,91901.5822,7091.582151000001
R251_reverse_num2,7.89677,89756.2324,316.7286688
R292_reverse_num2,4.90276,53359.415,330.7745409
R292_reverse_num3,7.5175195000000015,31880.1608,848.9000532
R292_reverse_num4,8.184961,30366.639,970.336546
R292_reverse_num5,12.75103,96378.0151,476.2881654
R292_reverse_num6,5.2593665000000005,33401.5737,566.8511182
R292_reverse_num7,7.297356599999999,37128.8932,707.5482595
R315_reverse_num2,2.6693776,49369.845,194.6483599
R332_reverse_num2,14.752506,28088.3029,1890.787841
R332_reverse_num3,21.693659,28900.7476,2702.254401
R338_reverse_num2,143.13733,37374.569,13787.29981
R349_reverse_num2,10.329702,35127.1998,1058.636254
R349_reverse_num3,9.400269,36352.4457,930.9131132
R364_reverse_num2,17.460947,51446.9644,1221.829314
R364_reverse_num3,8.895949,54104.278,591.9202249
R364_reverse_num4,23.83152,52188.0267,1643.9301779999996
R364_reverse_num5,38.58912,65191.2394,2130.973936
R364_reverse_num6,8.273593,51325.0096,580.3201018999998
R364_reverse_num7,9.1874895,51929.6462,636.9186894
R364_reverse_num8,5.3160777,53652.8915,356.6980117
R386_reverse_num2,76.444405,54081.1729,5088.644407
R386_reverse_num3,39.71175,97225.7448,1470.4160949999996
R386_reverse_num4,23.176517,47753.7472,1747.202389
R386_reverse_num5,47.47773,105300.4521,1623.163287
R386_reverse_num6,132.67581,81550.5713,5856.892335000001
R386_reverse_num7,130.97343,84108.1366,5605.930259000002
R386_reverse_num8,22.589848,97051.6949,837.9395423
